datetime,parking,pourcentage
2023-06-20T22:16:10,DARCY,49
2023-06-20T22:16:10,DAUPHINE,100
2023-06-20T22:16:10,GRANGIER,54
2023-06-20T22:16:10,MALRAUX,45
2023-06-20T22:16:10,MONGE,32
2023-06-20T22:16:10,SAINTE-ANNE,71
2023-06-20T22:16:10,TIVOLI,84
2023-06-20T22:16:10,TREMOUILLE,66
2023-06-20T22:43:28,CLEMENCEAU,52
2023-06-20T22:43:28,CONDORCET,57
2023-06-20T22:43:28,DARCY,48
2023-06-20T22:43:28,DAUPHINE,100
2023-06-20T22:43:28,GRANGIER,54
2023-06-20T22:43:28,MALRAUX,46
2023-06-20T22:43:28,MONGE,31
2023-06-20T22:43:28,SAINTE-ANNE,70
2023-06-20T22:43:28,TIVOLI,84
2023-06-20T22:43:28,TREMOUILLE,66
2023-06-20T23:16:24,CLEMENCEAU,52
2023-06-20T23:16:24,CONDORCET,56
2023-06-20T23:16:24,DARCY,48
2023-06-20T23:16:24,DAUPHINE,100
2023-06-20T23:16:24,GRANGIER,54
2023-06-20T23:16:24,MALRAUX,46
2023-06-20T23:16:24,MONGE,31
2023-06-20T23:16:24,SAINTE-ANNE,70
2023-06-20T23:16:24,TIVOLI,84
2023-06-20T23:16:24,TREMOUILLE,65
2023-06-20T23:43:20,CLEMENCEAU,52
2023-06-20T23:43:20,CONDORCET,56
2023-06-20T23:43:20,DARCY,48
2023-06-20T23:43:20,DAUPHINE,100
2023-06-20T23:43:20,GRANGIER,53
2023-06-20T23:43:20,MALRAUX,46
2023-06-20T23:43:20,MONGE,31
2023-06-20T23:43:20,SAINTE-ANNE,70
2023-06-20T23:43:20,TIVOLI,84
2023-06-20T23:43:20,TREMOUILLE,65
2023-06-21T00:27:04,CLEMENCEAU,52
2023-06-21T00:27:04,CONDORCET,56
2023-06-21T00:27:04,DARCY,47
2023-06-21T00:27:04,DAUPHINE,100
2023-06-21T00:27:04,GRANGIER,53
2023-06-21T00:27:04,MALRAUX,46
2023-06-21T00:27:04,MONGE,31
2023-06-21T00:27:04,SAINTE-ANNE,70
2023-06-21T00:27:04,TIVOLI,84
2023-06-21T00:27:04,TREMOUILLE,65
2023-06-21T01:03:24,CLEMENCEAU,52
2023-06-21T01:03:24,CONDORCET,56
2023-06-21T01:03:24,DARCY,47
2023-06-21T01:03:24,DAUPHINE,100
2023-06-21T01:03:24,GRANGIER,53
2023-06-21T01:03:24,MALRAUX,46
2023-06-21T01:03:24,MONGE,31
2023-06-21T01:03:24,SAINTE-ANNE,70
2023-06-21T01:03:24,TIVOLI,84
2023-06-21T01:03:24,TREMOUILLE,65
2023-06-21T01:44:38,CLEMENCEAU,52
2023-06-21T01:44:38,CONDORCET,56
2023-06-21T01:44:38,DARCY,47
2023-06-21T01:44:38,DAUPHINE,100
2023-06-21T01:44:38,GRANGIER,53
2023-06-21T01:44:38,MALRAUX,46
2023-06-21T01:44:38,MONGE,31
2023-06-21T01:44:38,SAINTE-ANNE,70
2023-06-21T01:44:38,TIVOLI,84
2023-06-21T01:44:38,TREMOUILLE,65
2023-06-21T02:29:06,CLEMENCEAU,52
2023-06-21T02:29:06,CONDORCET,56
2023-06-21T02:29:06,DARCY,47
2023-06-21T02:29:06,DAUPHINE,100
2023-06-21T02:29:06,GRANGIER,53
2023-06-21T02:29:06,MALRAUX,46
2023-06-21T02:29:06,MONGE,31
2023-06-21T02:29:06,SAINTE-ANNE,70
2023-06-21T02:29:06,TIVOLI,84
2023-06-21T02:29:06,TREMOUILLE,65
2023-06-21T02:47:40,CLEMENCEAU,52
2023-06-21T02:47:40,CONDORCET,56
2023-06-21T02:47:40,DARCY,47
2023-06-21T02:47:40,DAUPHINE,100
2023-06-21T02:47:40,GRANGIER,54
2023-06-21T02:47:40,MALRAUX,46
2023-06-21T02:47:40,MONGE,31
2023-06-21T02:47:40,SAINTE-ANNE,70
2023-06-21T02:47:40,TIVOLI,84
2023-06-21T02:47:40,TREMOUILLE,65
2023-06-21T03:16:24,CLEMENCEAU,52
2023-06-21T03:16:24,CONDORCET,56
2023-06-21T03:16:24,DARCY,47
2023-06-21T03:16:24,DAUPHINE,100
2023-06-21T03:16:24,GRANGIER,54
2023-06-21T03:16:24,MALRAUX,46
2023-06-21T03:16:24,MONGE,31
2023-06-21T03:16:24,SAINTE-ANNE,70
2023-06-21T03:16:24,TIVOLI,84
2023-06-21T03:16:24,TREMOUILLE,65
2023-06-21T03:43:20,CLEMENCEAU,52
2023-06-21T03:43:20,CONDORCET,56
2023-06-21T03:43:20,DARCY,47
2023-06-21T03:43:20,DAUPHINE,100
2023-06-21T03:43:20,GRANGIER,52
2023-06-21T03:43:20,MALRAUX,46
2023-06-21T03:43:20,MONGE,31
2023-06-21T03:43:20,SAINTE-ANNE,70
2023-06-21T03:43:20,TIVOLI,84
2023-06-21T03:43:20,TREMOUILLE,65
2023-06-21T04:16:55,CLEMENCEAU,52
2023-06-21T04:16:55,CONDORCET,56
2023-06-21T04:16:55,DARCY,47
2023-06-21T04:16:55,DAUPHINE,100
2023-06-21T04:16:55,GRANGIER,52
2023-06-21T04:16:55,MALRAUX,46
2023-06-21T04:16:55,MONGE,31
2023-06-21T04:16:55,SAINTE-ANNE,70
2023-06-21T04:16:55,TIVOLI,84
2023-06-21T04:16:55,TREMOUILLE,65
2023-06-21T04:43:23,CLEMENCEAU,51
2023-06-21T04:43:23,CONDORCET,56
2023-06-21T04:43:23,DARCY,47
2023-06-21T04:43:23,DAUPHINE,100
2023-06-21T04:43:23,GRANGIER,53
2023-06-21T04:43:23,MALRAUX,46
2023-06-21T04:43:23,MONGE,31
2023-06-21T04:43:23,SAINTE-ANNE,70
2023-06-21T04:43:23,TIVOLI,84
2023-06-21T04:43:23,TREMOUILLE,65
2023-06-21T05:16:22,CLEMENCEAU,51
2023-06-21T05:16:22,CONDORCET,56
2023-06-21T05:16:22,DARCY,47
2023-06-21T05:16:22,DAUPHINE,100
2023-06-21T05:16:22,GRANGIER,53
2023-06-21T05:16:22,MALRAUX,46
2023-06-21T05:16:22,MONGE,31
2023-06-21T05:16:22,SAINTE-ANNE,70
2023-06-21T05:16:22,TIVOLI,84
2023-06-21T05:16:22,TREMOUILLE,65
2023-06-21T05:43:36,CLEMENCEAU,51
2023-06-21T05:43:36,CONDORCET,57
2023-06-21T05:43:36,DARCY,47
2023-06-21T05:43:36,DAUPHINE,100
2023-06-21T05:43:36,GRANGIER,52
2023-06-21T05:43:36,MALRAUX,46
2023-06-21T05:43:36,MONGE,31
2023-06-21T05:43:36,SAINTE-ANNE,71
2023-06-21T05:43:36,TIVOLI,84
2023-06-21T05:43:36,TREMOUILLE,64
2023-06-21T06:17:05,CLEMENCEAU,51
2023-06-21T06:17:05,CONDORCET,56
2023-06-21T06:17:05,DARCY,47
2023-06-21T06:17:05,DAUPHINE,100
2023-06-21T06:17:05,GRANGIER,52
2023-06-21T06:17:05,MALRAUX,46
2023-06-21T06:17:05,MONGE,34
2023-06-21T06:17:05,SAINTE-ANNE,71
2023-06-21T06:17:05,TIVOLI,82
2023-06-21T06:17:05,TREMOUILLE,66
2023-06-21T06:43:29,CLEMENCEAU,50
2023-06-21T06:43:29,CONDORCET,57
2023-06-21T06:43:29,DARCY,46
2023-06-21T06:43:29,DAUPHINE,100
2023-06-21T06:43:29,GRANGIER,53
2023-06-21T06:43:29,MALRAUX,47
2023-06-21T06:43:29,MONGE,39
2023-06-21T06:43:29,SAINTE-ANNE,72
2023-06-21T06:43:29,TIVOLI,82
2023-06-21T06:43:29,TREMOUILLE,67
2023-06-21T07:16:13,CLEMENCEAU,54
2023-06-21T07:16:13,CONDORCET,60
2023-06-21T07:16:13,DARCY,46
2023-06-21T07:16:13,DAUPHINE,100
2023-06-21T07:16:13,GRANGIER,59
2023-06-21T07:16:13,MALRAUX,53
2023-06-21T07:16:13,MONGE,44
2023-06-21T07:16:13,SAINTE-ANNE,75
2023-06-21T07:16:13,TIVOLI,84
2023-06-21T07:16:13,TREMOUILLE,68
2023-06-21T07:43:17,CLEMENCEAU,55
2023-06-21T07:43:17,CONDORCET,63
2023-06-21T07:43:17,DARCY,45
2023-06-21T07:43:17,DAUPHINE,100
2023-06-21T07:43:17,GRANGIER,64
2023-06-21T07:43:17,MALRAUX,55
2023-06-21T07:43:17,MONGE,44
2023-06-21T07:43:17,SAINTE-ANNE,76
2023-06-21T07:43:17,TIVOLI,85
2023-06-21T07:43:17,TREMOUILLE,68
2023-06-21T08:16:58,CLEMENCEAU,53
2023-06-21T08:16:58,CONDORCET,69
2023-06-21T08:16:58,DARCY,43
2023-06-21T08:16:58,DAUPHINE,100
2023-06-21T08:16:58,GRANGIER,73
2023-06-21T08:16:58,MALRAUX,55
2023-06-21T08:16:58,MONGE,45
2023-06-21T08:16:58,SAINTE-ANNE,80
2023-06-21T08:16:58,TIVOLI,87
2023-06-21T08:16:58,TREMOUILLE,69
2023-06-21T08:43:26,CLEMENCEAU,53
2023-06-21T08:43:26,CONDORCET,73
2023-06-21T08:43:26,DARCY,41
2023-06-21T08:43:26,DAUPHINE,100
2023-06-21T08:43:26,GRANGIER,77
2023-06-21T08:43:26,MALRAUX,54
2023-06-21T08:43:26,MONGE,47
2023-06-21T08:43:26,SAINTE-ANNE,82
2023-06-21T08:43:26,TIVOLI,85
2023-06-21T08:43:26,TREMOUILLE,70
2023-06-21T09:16:12,CLEMENCEAU,52
2023-06-21T09:16:12,CONDORCET,73
2023-06-21T09:16:12,DARCY,37
2023-06-21T09:16:12,DAUPHINE,100
2023-06-21T09:16:12,GRANGIER,88
2023-06-21T09:16:12,MALRAUX,54
2023-06-21T09:16:12,MONGE,49
2023-06-21T09:16:12,SAINTE-ANNE,82
2023-06-21T09:16:12,TIVOLI,85
2023-06-21T09:16:12,TREMOUILLE,70
2023-06-21T09:43:23,CLEMENCEAU,52
2023-06-21T09:43:23,CONDORCET,72
2023-06-21T09:43:23,DARCY,33
2023-06-21T09:43:23,DAUPHINE,100
2023-06-21T09:43:23,GRANGIER,90
2023-06-21T09:43:23,MALRAUX,54
2023-06-21T09:43:23,MONGE,48
2023-06-21T09:43:23,SAINTE-ANNE,82
2023-06-21T09:43:23,TIVOLI,85
2023-06-21T09:43:23,TREMOUILLE,71
2023-06-21T10:16:41,CLEMENCEAU,51
2023-06-21T10:16:41,CONDORCET,74
2023-06-21T10:16:41,DARCY,29
2023-06-21T10:16:41,DAUPHINE,100
2023-06-21T10:16:41,GRANGIER,91
2023-06-21T10:16:41,MALRAUX,52
2023-06-21T10:16:41,MONGE,47
2023-06-21T10:16:41,SAINTE-ANNE,85
2023-06-21T10:16:41,TIVOLI,83
2023-06-21T10:16:41,TREMOUILLE,71
2023-06-21T10:43:32,CLEMENCEAU,50
2023-06-21T10:43:32,CONDORCET,77
2023-06-21T10:43:32,DARCY,26
2023-06-21T10:43:32,DAUPHINE,100
2023-06-21T10:43:32,GRANGIER,93
2023-06-21T10:43:32,MALRAUX,52
2023-06-21T10:43:32,MONGE,48
2023-06-21T10:43:32,SAINTE-ANNE,86
2023-06-21T10:43:32,TIVOLI,85
2023-06-21T10:43:32,TREMOUILLE,71
2023-06-21T11:15:30,CLEMENCEAU,51
2023-06-21T11:15:30,CONDORCET,79
2023-06-21T11:15:30,DARCY,24
2023-06-21T11:15:30,DAUPHINE,100
2023-06-21T11:15:30,GRANGIER,92
2023-06-21T11:15:30,MALRAUX,52
2023-06-21T11:15:30,MONGE,48
2023-06-21T11:15:30,SAINTE-ANNE,86
2023-06-21T11:15:30,TIVOLI,86
2023-06-21T11:15:30,TREMOUILLE,72
2023-06-21T11:44:48,CLEMENCEAU,51
2023-06-21T11:44:48,CONDORCET,79
2023-06-21T11:44:48,DARCY,22
2023-06-21T11:44:48,DAUPHINE,100
2023-06-21T11:44:48,GRANGIER,92
2023-06-21T11:44:48,MALRAUX,52
2023-06-21T11:44:48,MONGE,47
2023-06-21T11:44:48,SAINTE-ANNE,85
2023-06-21T11:44:48,TIVOLI,87
2023-06-21T11:44:48,TREMOUILLE,72
2023-06-21T12:18:29,CLEMENCEAU,52
2023-06-21T12:18:29,CONDORCET,82
2023-06-21T12:18:29,DARCY,18
2023-06-21T12:18:29,DAUPHINE,100
2023-06-21T12:18:29,GRANGIER,92
2023-06-21T12:18:29,MALRAUX,52
2023-06-21T12:18:29,MONGE,47
2023-06-21T12:18:29,SAINTE-ANNE,87
2023-06-21T12:18:29,TIVOLI,88
2023-06-21T12:18:29,TREMOUILLE,72
2023-06-21T12:49:27,CLEMENCEAU,53
